"Bid";"Author";"Year";"Title corrected";"General category";"Keywords";"Typology";"Period";"Subjects"
"TO00746027";"Logan, Oliver";1996;"The Venetian upper clergy in the 16th and early 17th centuries : a study in religious culture";"history";"religion; government";;"renaissance; xvii";"Clero - Italia - Sec. 16.-17; Venezia - chiesa; XVI-XVII"
"MIL0303565";"Pedani, Maria Pia";1996;"Veneta auctoritate notarius : storia del notariato veneziano, 1514-1797";"history";"social; government";;"renaissance; xvii; xviii";"Diritto processuale civile e tribunali civili. Italia nordorientale. Regione del Veneto. Comune di Venezia.; TRIBUNALI CIVILI. ALTRI FUNZIONARI. Venezia (prov.); NOTARIATO - Venezia - Sec. 16.-18.; NOTARIATO - Sec. 16.-18.; Notariato - Venezia"
"VEA0097976";"Stolberg, Michael";1996;"Wolken uber der Serenissima : eine kleine Geschichte der Luftverschmutzung in Venedig";"history";"urban";;;"INQUINAMENTO ATMOSFERICO - Venezia; VENEZIA - Inquinamento atmosferico; INQUINAMENTO ATMOSFERICO; Venezia - Sviluppo economico - Storia; Inquinamento - Storia - Venezia"
"VEA0089926";"Distefano, Giovanni";1996;"Storia di Venezia, 1797-1997";"history";;;"xix; recent";"VENEZIA - Storia - 1798-1895; VENEZIA - Storia - 1797-1997; Storia - Venezia ; XIX"
"VEA0098436";"Bertoli, Bruno";1997;"Chiesa di San Salvador : arte e devozione";"architecture";"churches";;;"ARCHITETTURA DELLE CHIESE CRISTIANE. Venezia; CHIESA DI SAN SALVADOR; VENEZIA - Chiesa di San Salvador"
"VEA0095332";"a cura di Irene Favaretto, Giovanna Luisa Ravagnan";1997;"Lo statuario pubblico della Serenissima: due secoli di collezionismo di antichità, 1596-1797";"arts";"collecting";"catalogue";"renaissance; xvii; xviii";"; VENEZIA - Museo archeologico - Cataloghi; Biblioteca nazionale Marciana - Cataloghi; VENEZIA - Esposizioni - 1997; GRIMANI, DOMENICO - Donazione; GRIMANI <FAMIGLIA> - Collezioni d'arte; MUSEO ARCHEOLOGICO - Statue antiche; PALAZZO GRIMANI <SANTA MARIA FORMOSA>; MUSEO ARCHEOLOGICO - Cataloghi; STATUE ROMANE - Venezia - Esposizioni - Venezia - 1997; STATUE GRECHE - Venezia - Esposizioni - Venezia - 1997; GRIMANI, GIOVANNI - Donazione; Statuette; Collezionismo - Venezia(Repubblica); XVI-XVIII"
"VEA0097519";"Hunecke, Volker";1997;"Il patriziato veneziano alla fine della Repubblica : 1646-1797";"history";"elites; government";;"xvii; xviii";"NOBILTA. VENEZIA <PROV.>; NOBILTA - Venezia <Repubblica> - 1646-1797; NOBILTA - 1646-1797; Nobilta' - Venezia ; XVII-XVIII"
"VIA0061869";"Povolo, Claudio";1997;"L'intrigo dell'onore : poteri e istituzioni nella Repubblica di Venezia tra Cinque e Seicento";"history";"elites; government; politics";;"renaissance; xvii";"Italia. Provincia di Venezia. Dal 16. al 18. sec.; GIUSTIZIA PENALE; POTERE; GIUSTIZIA PENALE - Venezia <repubblica> - Sec. 16.-17.; POTERE - Venezia <repubblica> - Sec. 16.-17.; VENEZIA <REPUBBLICA> - Giustizia penale - Sec. 16.-17.; Venezia (Repubblica) - Istituzioni politiche - Storia; Organizzazioni istituzionali - Venezia ; XVI-XVII"
"PUV0337068";"Mueller, Reinhold C";1997;"Money and banking in medieval and Renaissance Venice";"history";"finance";;"renaissance";"BANCHE - Venezia <Repubblica> - Sec. 13.-16.; VENEZIA <REPUBBLICA> - Finanza - Sec. 13.-16.; FINANZA - Sec. 13.-16.; BANCHE - Sec. 13.-16.; Moneta - Venezia - Storia; Banche - Venezia - Storia ; XII-XVI"
"VIA0065243";"a cura di Paolo Preto, Filiberto Agostini e Giovanni Silvano";1997;"Proclami delle municipalità venete di terraferma 1797";"history";"mainland";;"xviii";"; Municipalità Venete <1797> - Proclami; Venezia - storia; XVIII"
"IEI0114618";"édition établie par Alessandro Fontana, Francesco Furlan et Georges Saro";1997;"Venise et la révolution française : les 470 dépêches des ambassadeurs de Venise au doge, 1786-1795";"history";"politics";"primary";"xviii";"STORIA DELLA FRANCIA. RIVOLUZIONE, 1789-1804; AMBASCIATORI - Relazioni; AMBASCIATORI VENETI - Francia - Relazioni - 1786-1795; AMBASCIATORI VENETI - RELAZIONI - SEC. 18.; Venezia - Rapporti [con la] Francia ; XVIII"
"VEA0095616";;1997;"Dai dogi agli imperatori: la fine della Repubblica tra storia e mito";"history";"politics; myth";"catalogue";"xviii";"STORIA DI VENEZIA. 1797-1815; VENEZIA - Esposizioni - 1997; VENEZIA - Storia - 1797-1814 - Esposizioni - Venezia - 1997; VENEZIA - Vita artistica e culturale - 1797-1814 - Fonti documentarie - Venezia - Esposizioni - 1997; VENEZIA - Museo Correr - Collezioni; STORIA - 1797-1814; VENEZIA - Esposizioni - 1997; Venezia - Storia ; XVIII"
"PUV0327562";"Pizzati, Anna";1997;"Commende e politica ecclesiastica nella Repubblica di Venezia tra '500 e '600";"history";"religion; government";;"renaissance; xvii";"ORGANIZZAZIONI E GRUPPI RELIGIOSI. VENETO; RELAZIONI DELLO STATO CON LE COLLETTIVITA RELIGIOSE; BENEFICI ECCLESIASTICI - Venezia <Repubblica> - Storia - Sec.16.-17.; VENEZIA <REPUBBLICA> - Relazioni con la Santa Sede - Storia - Sec.16.-17.; POLITICA ECCLESIASTICA - Sec. 16.-17.; Venezia <Repubblica> - Politica ecclesiastica - Sec. 16.-17."
"VEA0094566";"Imhaus, Brunehilde";1997;"Le minoranze orientali a Venezia, 1300-1510";"history";"social";;"middle ages; renaissance";"GRUPPI RAZZIALI, ETNICI, NAZIONALI. Venezia; VENEZIA <REPUBBLICA> - Minoranze etniche - Sec. 14.-16.; VENEZIA <REPUBBLICA> - Immigrazione - Sec. 14.-16.; IMMIGRAZIONE - Sec. 14.-16.; VENEZIA <REPUBBLICA> - Vita sociale - 1300-1510; Venezia - Minoranze - Sec.14.-15; Minoranze etniche - Venezia (Repubblica) - Sec. 14.-15.; Minoranze etniche - Venezia ; XIV-XVI"
"MIL0333219";"Davis, Robert C";1997;"La guerra dei pugni : cultura popolare e violenza pubblica a Venezia nel tardo Rinascimento";"history";"social";;"renaissance";"STORIA DI VENEZIA. 1607-1718; VENEZIA - Storia - Sec. 16.; VENEZIA - Gioco dei pugni; GIUOCHI POPOLARI - Sec. 16.; Venezia (Repubblica) - Cultura popolare - Rinascimento; Societa' - Venezia - XVI"
"PUV0314517";"Tessitori, Paola";1997;"Basta che finissa 'sti cani : democrazia e polizia nella Venezia del 1797";"history";"social; government";;"xviii";"Servizi di polizia. Personale.; GIUSTIZIA - Venezia - 1797; POLIZIA - 1797; SICUREZZA SOCIALE - 1797; GIUSTIZIA - 1797; Polizia - Venezia - 1797; Giustizia - Venezia ; XVIII"
"VEA0099173";"Crouzet-Pavan, Élisabeth";1997;"Venise: une invention de la ville : 13.-15. siecle";"history";"urban";;"middle ages; renaissance";"STORIA DI VENEZIA (PROV.); VENEZIA <REPUBBLICA> - Storia urbana - Sec. 13.-15.; STORIA - Sec. 13.-15.; Venezia <Repubblica> - Storia urbana - Sec. 13.-15.; Storia urbana - Venezia ; XIII-XV"
"VEA0101902";"Magani, Fabrizio";1997;"Il Panteon veneto";"arts";"crafts";;"xix";"SCULTURA. Italia nord-orientale; UOMINI CELEBRI VENETI - Ritratti - 1850-1900; BUSTI - Venezia - Istituto veneto di scienze lettere ed arti; UOMINI ILLUSTRI - Ritratti; Venezia - scultura"
"VEA1053633";"Romanelli, Giandomenico";1997;"L'art de Venise : 2";"arts";"painting";;;"Venezia - Arte; Arte - Venezia"
"VEA0105601";"a cura di Giandomenico Romanelli ... \et al";1998;"Venezia Quarantotto: episodi, luoghi e protagonisti di una rivoluzione 1848-49";"history";1848;"catalogue";"xix";"STORIA DI VENEZIA. 1815-1849; STORIA - 1848-1849; VENEZIA - Esposizioni - 1998-1999; REPUBBLICA VENETA DEL '49. - Esposizioni - Venezia - 1998-1999; VENEZIA - Storia - 1848-1849 - Esposizioni - Venezia - 1998-1999; VENEZIA - Esposizioni - 1998-1999; Risorgimento italiano - Venezia - Esposizioni; Venezia - Rivoluzione - 1848-49; Esposizioni - Venezia - 1998-99; Venezia - Storia - 1848-49 - Esposizioni; Venezia - Storia ; XIX"
"REA0043643";"Davanzo Poli, Doretta";1998;"Il merletto veneziano";"arts";"crafts";;;"MERLETTI. Venezia (prov.); MERLETTI; MERLETTI - Venezia - Storia; Merletti - Venezia"
"VEA0107892";"Bovolato, Luca";1998;"L' arte dei luganegheri a Venezia tra Seicento e Settecento";"history";"crafts; guilds";;"xvii; xviii";"TECNICA DELLE CARNI E DEGLI ELEMENTI AFFINI.; ARTE DEI LUGANEGHERI; VENEZIA - Corporazioni - Sec. 17.-18.; Corporazioni - Venezia - Sec. 17.-18; Artigianato - Venezia ; XVII-XVIII"
"CFI0414699";"Miato, Monica";1998;"L'Accademia degli Incogniti di Giovan Francesco Loredan, Venezia (1630-1661";"history";"individuals; culture";;"xvii";"LETTERATURA ITALIANA. Organizzazioni. Venezia; Venezia <Repubblica> - Storia - Sec. 17.; LOREDANO, GIOVANNI FRANCESCO; VENEZIA - Cultura - Sec. 17.; Accademia degli Incogniti <Venezia>; LOREDANO, GIOVANNI FRANCESCO; Venezia - Accademia degli Incogniti; Editoria - Venezia ; XVII"
"VEA0104356";;1998;"Il mondo di Giacomo Casanova: un veneziano in Europa, 1725-1798";"arts";"individuals; painting";"catalogue";"xviii";"STORIA GENERALE DELL'EUROPA. 1715-1789. Persone; CASANOVA, GIACOMO - Esposizioni - Venezia - 1998-1999; VENEZIA - Esposizioni - 1998-1999; CASANOVA, GIACOMO - Esposizioni - Venezia - 1998-1999; Casanova, Giacomo - Esposizioni - Venezia"
"CFI0417770";"Bonazzoli, Viviana";1998;"Adriatico e Mediterraneo orientale : una dinastia mercantile ebraica del secondo '600";"history";"jews; commerce";;"xvii";"COMMERCIO. Creta; COMMERCIO MARITTIMO - Sec. 17.; COMMERCIO MARITTIMO - Venezia <Repubblica> - Sec. 17.; COSTANTINI <FAMIGLIA> - Sec. 17.-18.; Costantini <Famiglia> - Attività commerciale - Creta - 1650-1750; Commercio - Venezia ; XVII"
"VIA0071281";"Quaranta, Elena";1998;"Oltre San Marco : organizzazione e prassi della musica nelle chiese di Venezia nel Rinascimento";"arts";"music; churches";;"renaissance";"MUSICA SACRA CRISTIANA. Venezia; MUSICA SACRA - Venezia - Sec. 16.; MUSICA SACRA - Sec. 16.; Musica - Venezia; XVI"
"MIL0456039";"Trivellato, Gianluigi";1998;"Venetian palazzi";"architecture";"palaces";;;"ARCHITETTURA DI PALAZZI. Venezia; Venezia - palazzi"
"PUV0390765";"Guzzetti, Linda";1998;"Venezianische Vermachtnisse : die soziale und wirtschaftliche Situation von Frauen im Spiegel spatmittelalterlicher Testamente";"history";"social; gender";"primary";"middle ages; renaissance";"ARCHIVI DI STATO - Venezia - Testamenti - Sec.14.-15.; DONNA - Condizioni economiche e sociali - Venezia - Sec. 14.-15- - Fonti; Donne veneziane - Vita privata - Medioevo; Donne - Condizioni socioeconomiche - Venezia; XIV-XV"
"VEA0103366";"a cura di Sebastiano Gentile";1998;"Oriente cristiano e santita : figure e storie di santi tra Bisanzio e l'Occidente";"arts";"religion";"catalogue";"middle ages";"ICONOGRAFIA. SANTI; SANTI - Impero d'Oriente; VENEZIA - Esposizioni - 1998; MANOSCRITTI MINIATI - Esposizioni - Venezia - 1998; SANTI - Iconografia - Esposizioni - Venezia - 1998; VENEZIA - Museo Correr - Biblioteca - Ms. Correr 1498 (I.416); VENEZIA - Museo Correr - Biblioteca - Ms. Correr 1508 (I.416); Santi - Agiografia cristiana"
"VEA0109196";"Tonon, Franco";1998;"Scuola dei Battuti di San Rocco : documenti sulle origini e illustrazione dei Capitoli delle Mariegole";"history";"schools; crafts; religion";"primary";;"SCUOLA DI SAN ROCCO; VENEZIA - Scuola Grande di San Rocco; VENEZIA - Chiesa di San Rocco; Venezia - Scuole-confraternite; Organizzazioni istituzionali - Fonti"
"VEA0110542";"Fees, Irmgard";1998;"Le monache di San Zaccaria a Venezia nei secoli 12. e 13";"history";"social; churches";;"middle ages";"VENEZIA - Chiesa di San Zaccaria; MONASTERO DI SAN ZACCARIA - Sec. 12.-13.; VENEZIA - Monastero di San Zaccaria - Sec. 12.-13.; Venezia - Ordini religiosi; Ordini religiosi - Venezia ; XII-XIII"
"VIA0069971";"Urban, Lina";1998;"Processioni e feste dogali : Venetia est mundus";"history";"social; entertainment; politics";;;"; FESTE PUBBLICHE - Venezia <Repubblica>; FESTE RELIGIOSE - Venezia <Repubblica>; VENEZIA <REPUBBLICA> - Feste dogali; VENEZIA <REPUBBLICA> - Processioni; FESTE DOGALI; PROCESSIONI; Venezia (Repubblica) - Processioni; Feste - Venezia(Repubblica)"
"VEA0106918";"Populin, Elisabetta";1998;"Il ponte dell'Accademia a Venezia, 1843-1986";"architecture";"urban";;"xix; recent";"PONTE DELL'ACCADEMIA; VENEZIA - Ponte dell'Accademia - 1843-1986; Venezia - ponti; XIX-XX"
"CFI0427021";"Perini, Sergio";1998;"La difesa militare della terraferma veneta nel Settecento";"history";"war";;"xviii";"ARTI E SCIENZE MILITARI. Italia nord-orientale; ESERCITO VENEZIANO - Sec. 18.; FORTIFICAZIONI - Venezia <Repubblica> - Sec. 18.; Venezia (Repubblica) - Difesa militare - Sec. 18; Storia militare - Venezia(Repubblica) ; XVIII"
"PUV0391846";"a cura di Oddone Longo";1998;"La porpora: realtà e immaginario di un colore simbolico : atti del Convegno di studio, Venezia, 24 e 25 ottobre 1996";"arts";"crafts";"catalogue";;"COLORAZIONE E TECNICHE CONNESSE. TINTURE NATURALI. Trattamento storico e geografico; VENEZIA - Congressi - 1996; PORPORA - Congressi - Venezia - 1996; Porpora - Studi"
"VEA0108692";"Brunello, Piero";1999;"Voci per un dizionario del Quarantotto : Venezia e Mestre, marzo 1848 agosto 1849";"history";1848;;"xix";"STORIA. VENEZIA. 1815-1849; VENEZIA - Storia - 1848-1849; STORIA - 1848-1849; MESTRE <VENEZIA> - Storia - 1848-1849; Venezia - Rivoluzione - 1848-49; Risorgimento italiano; Venezia - Storia ; XIX"
"VEA0112932";;1999;"A volo d'uccello: Jacopo de' Barbari e le rappresentazioni di città nell'Europa del Rinascimento";"arts";"cartography";"catalogue";"renaissance";"RAPPRESENTAZIONI GRAFICHE DELLA SUPERFICIE TERRESTRE. Venezia; VEDUTE; DE' BARBARI, JACOPO; DE BARBARI, JACOPO - Pianta prospettica; VENEZIA - Vedute - Sec. 15.-16. - Esposizioni - Venezia - 1999-2000; VENEZIA - Esposizioni - 1999-2000; DE BARBARI, JACOPO - Pianta prospettica di Venezia - Venezia - Museo Correr; CITTA - Europa - Vedute - Sec. 15.-16. - Esposizioni - Venezia - 1999-2000; VENEZIA - Museo Correr - Jacopo de Barbari - Pianta prospettica di Venezia; CARTE GEOGRAFICHE - Sec. 15. - Venezia - Museo Correr - Biblioteca; VENEZIA - Museo Correr - Biblioteca - Carte geografiche - Sec. 15.; PORTOLANI - Sec. 15. - Venezia - Museo Correr - Biblioteca; VENEZIA - Museo Correr - Biblioteca - Portolani - Sec. 15.; INCISIONI - Sec. 15.-16. - Venezia - Museo Correr - Biblioteca; VENEZIA - Museo Correr - Biblioteca - Incisioni - Sec. 15.-16.; TRATTATI SCIENTIFICI - Sec. 16. - Venezia - Museo Correr - Biblioteca; VENEZIA - Museo Correr - Biblioteca - Trattati scientifici - Sec. 16.; De' Barbari, Jacopo <1445 ca.-1515 ca.>; Esposizioni - Venezia - 1999-2000; Cartografia - Venezia ; XV-XVI"
"VEA0111103";"a cura di Vettore Zaniol e Gabriele Mazzucco";1999;"La Basilica dei SS. Maria e Donato : cinque secoli di incisioni, vedute e progetti";"architecture";"churches";;;"MURANO - Chiesa dei Santi Maria e Donato; MURANO <VENEZIA> - Chiesa dei Santi Maria e Donato; Murano - Chiesa di San Donato; Murano - chiese"
"BVE0166651";"McCray, W. Patrick";1999;"Glassmaking in Renaissance Venice : the fragile craft";"arts";"crafts";;"renaissance";"VETRERIA. Venezia (prov.); VETRI - Storia; VETRI - Fabbricazione - Venezia - Sec. 16.; Vetri - Murano (Venezia) - Storia; Venezia - arte vetraria; XVI"
"VEA0114545";"Davanzo Poli, Doretta";1999;"Le arti decorative a Venezia";"arts";"crafts";;;"ARTI DECORATIVE. Venezia; ARTE DECORATIVA - Venezia; ARTI MINORI - Venezia; ARTE DECORATIVA"
"VIA0080047";"a cura di Loretta Dolcini, Doretta Davanzo Poli, Ettore Vio";1999;"Arazzi della Basilica di San Marco";"arts";"crafts; churches";;;"; ARAZZI - Venezia - Chiesa di San Marco; CHIESA DI SAN MARCO - Arazzi; Arazzi - Venezia - San Marco; Basilica di san Marco - arte"
"VEA0107484";"Sangalli, Maurizio";1999;"Cultura, politica e religione nella Repubblica di Venezia tra Cinque e Seicento : Gesuiti e Somaschi a Venezia";"history";"culture; politics; religion";;"renaissance; xvii";"CONGREGAZIONI E ORDINI RELIGIOSI NELLA STORIA DELLA CHIESA; GESUITI - Insegnamento - Venezia <Repubblica> - Sec. 16.-17.; SOMASCHI - Insegnamento - Venezia <Repubblica> - Sec. 16. - 17.; GESUITI - Sec. 16.-17.; SOMASCHI - Sec. 16.-17.; Gesuiti - Venezia <repubblica> - Sec. 16.-17; Somaschi - Venezia <repubblica> - Sec. 16.-17; Nobili - Educazione - Venezia <repubblica> - Sec. 16.-17.; Venezia <repubblica> - Cultura - Sec. 16.-17.; Storia ecclesiastica - Venezia(Repubblica) ; XVI-XVII"
"VEA1138928";"Karl-Hartmann Necker";1999;"Dandolo : Venedigs Kühnster Doge";"history";"individuals";;"middle ages";"Dandolo, Enrico <doge di Venezia ; 1192-1205>; Venezia (Repubblica) - Storia - Sec. 12.; Venezia - Storia ; XII"
"VIA0079756";"Galletto, Pietro";1999;"La vita di Daniele Manin e l'epopea veneziana del 1848-49";"history";"individuals; 1848";;"xix";"STORIA DEL VENETO. PERIODO DALLA FINE DELLA PRIMA GUERRA DI INDIPENDENZA ALL'ANNESSIONE AL REGNO D'ITALIA, 1849-1866; REPUBBLICA VENETA DEL '49; MANIN, DANIELE; STORIA - 1848-1849; MANIN, DANIELE; Manin, Daniele - Attività politica - Repubblica di Venezia - 1848-1849; Venezia (Repubblica) - Storia - 1848-1849"
"VIA0080430";"Rossi, Paola";1999;"Geroglifici e figure di pittoresco aspetto : Francesco Pianta alla Scuola grande di San Rocco";"arts";"individuals; painting";;;"SCULTURA MODERNA. 1400-; VENEZIA - Scuola Grande di San Rocco; PIANTA, FRANCESCO - Venezia - Scuola Grande di San Rocco; INTAGLIO - Venezia - Scuola Grande di San Rocco; Venezia - Scuola Grande di San Rocco - Cataloghi; PIANTA, FRANCESCO; Venezia - Scuole-confraternite; Sculture in legno - Venezia - Sec. 17."
"MIL0423249";"Kallendorf, Craig";1999;"Virgil and the myth of Venice : books and readers in the Italian Renaissance";"history";"myth; literature";;"renaissance";"NARRATIVA E POESIA EPICA LATINA. ORIGINI-500; Poesia epica e narrativa latina. Periodo romano, fino al 500 ca; VIRGILIO MARONE, PUBLIO - Opere - Edizioni - 1470-1599; VIRGILIO MARONE, PUBLIO - Fortuna - Venezia; Editoria - Venezia; XV-XVI"
"NAP0214978";"a cura di Bernard Aikema, Beverly Louise Brown";1999;"Il Rinascimento a Venezia e la pittura del Nord ai tempi di Bellini, Dürer, Tiziano";"arts";"painting";"catalogue";"renaissance";"PITTURA. VENEZIA (PROV.); PITTURA VENEZIANA - Sec. 15.-17. - Esposizioni - Venezia - 1999; VENEZIA - Esposizioni - 1999; GERMANIA E VENEZIA - Relazioni culturali - Sec. 15.-17.; PAESI BASSI E VENEZIA - Relazioni culturali - Sec. 15.-17.; PITTURA - Paesi Bassi - Sec. 15.-17. - Esposizioni - Venezia - 1999; PITTURA TEDESCA - Sec. 15.-17. - Esposizioni - Venezia - 1999; PITTURA TEDESCA - Influssi della pittura veneziana - Sec. 15.-16. - Esposizioni - Venezia - 1999; PITTURA FIAMMINGA - Influssi della pittura veneziana - Sec. 15.-16. - Esposizioni - Venezia - 1999; Pittura - Europa - Sec. 15.-17. - Esposizioni - 1999-2000"
"VEA0113882";"Doumerc, Bernard";1999;"Venise et l'émirat hafside de Tunis (1231-1535";"history";"politics";;"middle ages; renaissance";"VENEZIA <REPUBBLICA> - Relazioni con la Tunisia - Sec. 13.-16.; COMMERCIO MARITTIMO - Venezia <repubblica> - Sec. 13.-16.; RELAZIONI CON LA TUNISIA - Sec. 13.-16.; COMMERCIO MARITTIMO - Sec. 13.-16.; Venezia (Repubblica) - Relazioni con l'Africa settentrionale - Medioevo; Commercio - Venezia ; XIII-XVI"
"VIA0073369";"Lanaro, Paola";1999;"I mercati nella Repubblica veneta : economie cittadine e Stato territoriale, secoli 15.-18";"history";"politics; commerce";;"renaissance; xvii; xviii";"; VENEZIA <REPUBBLICA> - Commercio - Sec. 15.-18.; COMMERCIO - Sec. 15.-18.; Venezia (Repubblica) - Commercio - Sec. 15-18; Veneto - Commercio - Sec. 15.-18.; Commercio - Venezia <Repubblica> - Sec. 15-18.; Commercio - Venezia(Repubblica) ; XV-XVIII"
"TO00763215";"Hobson, Anthony";1999;"Renaissance book collecting : Jean Grolier and Diego Hurtado de Mendoza, their books and bindings";"history";"books; collecting";;"renaissance";"IL LIBRO. Persone; BIBLIOFILI; HURTADO DE MENDOZA, DIEGO; GROLIER, JEAN; LIBRI RARI, ANTICHI E DI PREGIO - Collezioni - Sec. 16.; EDITORIA - Venezia - Sec. 16.; LEGATURE - Sec. 16.; LEGATURE - Sec. 16.; Editoria - Venezia; XVI"
"VEA0113383";"a cura di Gianni Fabbri";1999;"La Scuola grande della Misericordia di Venezia : storia e progetto";"architecture";"schools";;"renaissance";"; VENEZIA - Scuola grande della Misericordia - Storia; SCUOLA GRANDE DELLA MISERICORDIA; Venezia - Scuole-confraternite; Architettura - Venezia ; XVI"
"VIA0079737";"Berveglieri, Roberto";1999;"Le vie di Venezia : canali lagunari e rii a Venezia: inventori, brevetti, tecnologia e legislazione nei secoli 13.-18";"architecture";"urban";;;"INDICE ERRATO; Storia del Veneto.Periodo dell'affermazione dei Comuni.; Venezia - Canali; RII - Escavazione; MACCHINE SCAVATRICI - Venezia <Repubblica>; MACCHINE SCAVATRICI - Brevetti; Venezia - Canali - Manutenzione - Sec. 13.-18; Venezia - canali; XIII-XVIII"
"VEA0110313";"Biscaro, Maria Grazia";1999;"Mestre : paesaggio agrario, proprieta e conduzione di una podesteria nella prima meta del secolo 16";"history";"urban; social; mainland";;"renaissance";"PROPRIETA AGRARIA - Mestre <Venezia> - Sec. 16.; PROPRIETA AGRARIA - Mestre - Sec. 16.; Proprietà fondiaria - Venezia - Sec. 16; Mestre - Storia - Sec. 16.; Mestre - Storia ; XVI"
"TO00814557";"edizione e traduzione a cura di Luigi Andrea Berto";1999;"Testi storici veneziani (11.-13. secolo";"history";"literature";"primary";"middle ages";"STORIA. VENEZIA (PROV.); VENEZIA <REPUBBLICA> - Storia - Sec. 11.-13.; STORIA - Fonti - Cronache - 1070-1230; Venezia - Storia - Fonti ; XI-XIII"
"RAV0341506";"Ioannes : Diaconus";1999;"Istoria Veneticorum";"history";"literature";"primary";"middle ages";"STORIA. VENEZIA (PROV.); VENEZIA - Storia; Venezia - Fonti"
"VEA0115229";"Balistreri Trincanato, Corrado";2000;"Jacopo de Barbari, il racconto di una città : elaborazione computerizzata con 890 disegni intercalati nel testo";"arts";"cartography";"primary";"renaissance";"INCISIONE E STAMPE. Persone; DE' BARBARI, JACOPO; DE BARBARI, JACOPO - Pianta prospettica; VENEZIA - Edifici - Sec. 15.-16. - Fonti iconografiche; Urbanistica - Venezia - Sec. 15.-16. - Fonti iconografiche; TRINCANATO, EGLE RENATA - Ricerche; IMBARCAZIONI - Venezia - Sec. 15.-16. - Fonti iconografiche; EDIFICI - Sec. 15.-16.; URBANISTICA - Sec. 15.-16.; De' Barbari, Jacopo <1445 ca.-1515 ca.>; Venezia - Iconografia - Sec. 16; Urbanistica - Venezia; XVI"
"RML0091127";"Riccoboni, Bartolomea";2000;"Life and death in a Venetian convent: the chronicle and necrology of Corpus Domini, 1395-1436";"history";"churches; social";"primary";"middle ages";"VENEZIA - Monastero del Corpus Domini; MONASTERO DEL CORPUS DOMINI; Venezia - Convento del Corpus Domini - Storia - Fonti; Storia ecclesiastica - Venezia; XIV-XV"
"MIL0479269";"Borean, Linda";2000;"La quadreria di Agostino e Giovan Donato Correggio nel collezionismo veneziano del Seicento";"arts";"collecting";"catalogue";"xvii";"BELLE ARTI E ARTI DECORATIVE. Collezionismo; PITTURA. Musei, collezioni, esposizioni. Venezia; PITTURA. ITALIA. Musei, collezioni, esposizioni; COLLEZIONISMO - Venezia <Repubblica> - Sec. 17.; VENEZIA - Quadreria di Agostino e Giovan Donato Correggio; CORREGGIO <FAMIGLIA> - Collezioni d'arte; Correggio, Agostino; Correggio, Giovan Donato; Venezia - Collezionismo - sec. 17; Arte - Venezia; XVII"
"REA0049889";"Cecchini, Isabella";2000;"Quadri e commercio a Venezia durante il Seicento : uno studio sul mercato dell'arte";"arts";"commerce; collecting; painting";;"xvii";"COMMERCIO. Arte; COMMERCIO. Arte; OPERE D'ARTE - Commercio - Venezia - Sec. 17.; OPERE D'ARTE - Commercio - Sec. 17.; VENEZIA - Opere d'arte - Commercio - Sec. 17.; PITTURE - Commercio - Venezia - Sec. 17.; Pitture - Commercio - Venezia - Sec.17.; Commercio - Venezia; XVII"
"UFI0341605";"Molà, Luca";2000;"The silk industry of Renaissance Venice";"history";"crafts";;"renaissance";"Industria della seta. Italia. Venezia; SETA - Industria - Venezia - Sec. 15.-16.; SETA - Sec. 16.; Seta - Industria - Venezia - Sec. 16.; Industria tessile - Venezia; XV-XVI"
"RAV0701636";"Trivellato, Francesca";2000;"Fondamenta dei vetrai : lavoro, tecnologia e mercato a Venezia tra Sei e Settecento";"history";"crafts; guilds";;"renaissance; xvii";"INDUSTRIE SECONDARIE E SERVIZI. Vetro. Venezia; LAVORATORI DEL VETRO - Condizioni economiche e sociali - Venezia - Sec. 17.-18.; VETRI - Fabbricazione - Venezia - Sec. 17.-18.; VETRI - Commercio - Venezia - Sec. 17.-18.; VETRI - Sec. 17.-18.; LAVORATORI DEL VETRO - Sec. 17.-18.; Vetri - Fabbricazione - Venezia - Sec. 17.-18.; Commercio - Venezia ; XVII-XVIII"
"TO00920774";"Gecchele, Mario";2000;"Fedeli sudditi e buoni cristiani : la rivoluzione scolastica di fine Settecento tra la Lombardia austriaca e la Serenissima";"history";"culture";;"xviii";"; ISTRUZIONE PUBBLICA - Veneto - Sec. 18.-19.; ISTRUZIONE PUBBLICA - Lombardia - Sec. 18.-19.; ISTRUZIONE - Sec. 18.-19.; Istruzione pubblica - Milano - Sec. 18.; Istruzione pubblica - Venezia <Repubblica>; Istruzione - Venezia(Repubblica); XVIII"
"REA0048673";;2000;"San Rocco nell'arte: un pellegrino sulla via Francigena";"arts";"individuals";"catalogue";;"ICONOGRAFIA. SANTI; SCUOLA DI SAN ROCCO; ROCCO <SANTO> - Iconografia - Esposizioni - Piacenza - 2000; ROCCO <SANTO> - Culto - Esposizioni - Piacenza - 2000; PIACENZA - Esposizioni - 2000; VENEZIA - Scuola grande di San Rocco; Iconografia cristiana - Studi; Agiografia cristiana - Italia - Studi; Esposizioni - Piacenza - 2000"
